,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"z_m_s_15[7,3]",-0.595868,0.00418792,0.367446,0.362123,-1.18767,-0.598016,0.00771959,7888.3,6884.04,1.00054
"z_m_s_15[7,4]",0.606345,0.00459845,0.468598,0.459787,-0.177885,0.607498,1.36688,10605.9,6737.55,1.00185
"z_m_s_15[7,5]",0.574841,0.00433929,0.378521,0.374821,-0.0387247,0.573995,1.19239,7736.46,6634.49,1.00116
"z_m_s_15[7,6]",1.04641,0.0045284,0.489851,0.483706,0.230576,1.04785,1.83438,11979.1,7282.91,1.00068
"z_m_s_15[7,7]",0.288702,0.00414484,0.420241,0.416729,-0.399165,0.293372,0.974061,10407.5,6572.87,1.00116
"z_m_s_15[7,8]",1.37014,0.00467616,0.442354,0.436144,0.640406,1.37352,2.08714,9153.78,6663.53,1.00086
"z_m_s_15[7,9]",0.609345,0.00401959,0.354636,0.347728,0.0169417,0.611248,1.18191,7889.68,7134.15,1.00003
"z_m_s_15[7,10]",1.28519,0.00482965,0.521428,0.510458,0.403482,1.30093,2.10504,12110.4,6382.71,1.00132
"z_m_s_15[7,11]",0.80181,0.00435123,0.426865,0.416681,0.0917743,0.808298,1.4985,9785.15,6967.65,1.00137
"z_m_s_15[7,12]",0.443326,0.00403682,0.395271,0.392482,-0.201107,0.442342,1.09293,9757.92,7563.22,1.00088
"z_m_s_15[7,13]",0.288946,0.00416501,0.324235,0.316129,-0.246138,0.290737,0.817933,6188.51,6895.8,1.00116
"z_m_s_15[7,14]",0.487815,0.00401766,0.404694,0.403232,-0.178796,0.490197,1.15176,10295.8,7107.85,1.00127
"z_m_s_15[7,15]",1.07136,0.00420993,0.358972,0.350627,0.479109,1.07514,1.66433,7352.22,7421.97,1.00031
"z_m_s_15[7,16]",0.485278,0.00408054,0.364071,0.350117,-0.123404,0.492305,1.06829,8007.22,7220.91,1.00039
"z_m_s_15[8,1]",-0.3093,0.00477342,0.414085,0.409029,-0.988876,-0.305924,0.367981,7698.1,6934.25,1.00101
"z_m_s_15[8,2]",0.422453,0.00442195,0.355476,0.343764,-0.158661,0.419421,1.01096,6521.03,6669.31,1.00133
"z_m_s_15[8,3]",-0.199373,0.00464223,0.484794,0.482224,-0.997251,-0.198237,0.605529,11180.2,6554.32,1.00114
"z_m_s_15[8,4]",0.25591,0.00432137,0.368357,0.370161,-0.353323,0.257321,0.848798,7431.44,6734.55,1.00154
"z_m_s_15[8,5]",0.128035,0.00432985,0.399846,0.395186,-0.537828,0.133835,0.776458,8743.43,6425.44,1.00027
"z_m_s_15[8,6]",0.359354,0.00444089,0.410952,0.403578,-0.31829,0.35669,1.04258,8712.37,6977.09,1.00106
"z_m_s_15[8,7]",0.681803,0.00431354,0.423855,0.41039,-0.0237484,0.686273,1.36592,9835.1,6747.55,1.00148
"z_m_s_15[8,8]",0.109817,0.00454034,0.46507,0.460514,-0.651916,0.117555,0.87117,10784.0,6877.23,1.00096
"z_m_s_15[8,9]",1.1715,0.0042666,0.402116,0.402078,0.503337,1.18208,1.82049,8974.29,7313.03,1.00043
"z_m_s_15[8,10]",0.0866152,0.00488929,0.489687,0.484674,-0.712694,0.083832,0.889986,10214.1,6507.58,1.00082
"z_m_s_15[8,11]",0.276521,0.00437663,0.400828,0.396528,-0.371026,0.275072,0.937398,8529.36,6424.45,1.00113
"z_m_s_15[8,12]",0.55429,0.00462716,0.504213,0.497572,-0.277612,0.558733,1.37202,12058.2,6717.65,1.00107
"z_m_s_15[8,13]",-0.29399,0.00466323,0.531729,0.517686,-1.15098,-0.300597,0.585998,13374.6,5959.32,1.00178
"z_m_s_15[8,14]",-0.0702843,0.00420318,0.382354,0.37425,-0.696464,-0.0725828,0.555915,8374.64,5918.64,1.00057
"z_m_s_15[8,15]",-0.51916,0.00428545,0.393903,0.390693,-1.16056,-0.519578,0.115483,8551.83,6371.59,1.00101
"z_m_s_15[8,16]",0.529229,0.00443226,0.394413,0.375138,-0.125934,0.528143,1.17079,8113.24,6339.46,1.00124
"z_m_s_15[9,1]",0.572654,0.00480716,0.360719,0.360256,-0.0264576,0.583542,1.15008,5728.18,6660.4,1.00053
"z_m_s_15[9,2]",0.380432,0.00464801,0.416263,0.412323,-0.301352,0.381488,1.05118,8101.87,7043.19,1.00043
"z_m_s_15[9,3]",-0.523374,0.00378137,0.322621,0.324474,-1.04841,-0.52585,0.00819672,7349.16,7193.88,1.00139
"z_m_s_15[9,4]",-0.41713,0.00431254,0.354435,0.351037,-0.996448,-0.415993,0.170895,6914.3,6334.76,1.00092
"z_m_s_15[9,5]",-0.0352246,0.00437904,0.428863,0.421445,-0.737055,-0.0387605,0.661841,9750.63,6785.29,1.00075
"z_m_s_15[9,6]",-0.444464,0.0042048,0.383894,0.383075,-1.07498,-0.447971,0.187117,8444.95,6240.65,1.00112
"z_m_s_15[9,7]",-1.10522,0.00400195,0.360191,0.355586,-1.68843,-1.10784,-0.5152,8181.03,7065.01,1.0007
"z_m_s_15[9,8]",-0.499399,0.00414608,0.350246,0.342444,-1.08304,-0.496919,0.0697768,7308.27,6868.99,1.00051
"z_m_s_15[9,9]",-0.538621,0.00396769,0.326127,0.321701,-1.0579,-0.542064,0.00388352,6823.8,6312.09,1.00047
"z_m_s_15[9,10]",-0.857326,0.00405084,0.401457,0.401424,-1.50107,-0.862218,-0.19182,9943.94,7689.8,1.00021
"z_m_s_15[9,11]",-1.00039,0.00438796,0.405797,0.401369,-1.66886,-1.00133,-0.338087,8683.18,6885.33,1.00071
"z_m_s_15[9,12]",-0.874211,0.00453025,0.452604,0.441635,-1.60665,-0.880561,-0.116082,10234.4,6914.06,1.00082
"z_m_s_15[9,13]",-1.38758,0.00477418,0.442969,0.442349,-2.11133,-1.39223,-0.65347,8769.69,7182.53,1.00142
"z_m_s_15[9,14]",-1.16531,0.00425627,0.416015,0.412914,-1.83677,-1.17001,-0.469307,9843.72,7316.88,1.00157
"z_m_s_15[9,15]",-0.910967,0.00458207,0.449793,0.446116,-1.63857,-0.914168,-0.165725,9960.66,6847.76,1.00024
"z_m_s_15[9,16]",-1.41053,0.00461691,0.440051,0.442756,-2.12054,-1.41922,-0.682135,9271.91,6742.67,1.00123
"z_m_s_15[10,1]",-0.346099,0.00475503,0.300222,0.288394,-0.841118,-0.349572,0.155311,4086.55,6131.07,1.00142
"z_m_s_15[10,2]",-0.831289,0.00464513,0.344861,0.330638,-1.38326,-0.837757,-0.25483,5590.19,6334.95,1.00061
"z_m_s_15[10,3]",-0.739998,0.00441705,0.446805,0.441566,-1.46727,-0.735853,0.0140825,10470.6,6305.82,1.00212
"z_m_s_15[10,4]",-0.657664,0.00448326,0.401927,0.40115,-1.314,-0.658212,0.00121891,8203.94,6654.64,1.00015
"z_m_s_15[10,5]",-0.760549,0.00428974,0.382771,0.375981,-1.38315,-0.767389,-0.128339,8095.36,6856.6,1.00101
"z_m_s_15[10,6]",-1.43011,0.00421657,0.358491,0.346906,-2.00958,-1.43716,-0.832786,7213.3,6983.58,1.00072
"z_m_s_15[10,7]",-1.0945,0.00435719,0.421364,0.42068,-1.7752,-1.09543,-0.402113,9562.28,6789.75,1.00084
"z_m_s_15[10,8]",-0.0968459,0.00430541,0.405831,0.40296,-0.763995,-0.0976855,0.571594,9051.38,6863.08,1.00109
"z_m_s_15[10,9]",-0.840041,0.00475864,0.505165,0.495241,-1.66802,-0.847876,0.0080574,11468.4,6762.33,1.00132
"z_m_s_15[10,10]",-0.365192,0.00410612,0.397732,0.391695,-1.01751,-0.369333,0.296996,9607.44,7036.92,1.00026
"z_m_s_15[10,11]",-0.41278,0.00433992,0.401874,0.396748,-1.06689,-0.408542,0.246394,8711.81,6452.93,1.00127
"z_m_s_15[10,12]",-0.422733,0.00413452,0.407224,0.40644,-1.09097,-0.422632,0.235289,9894.19,6317.83,1.00126
"z_m_s_15[10,13]",-0.520951,0.00400743,0.365208,0.352739,-1.12032,-0.525532,0.0779779,8456.41,6663.47,1.00039
"z_m_s_15[10,14]",-0.123511,0.00426242,0.411481,0.411588,-0.79707,-0.1219,0.535815,9518.63,7031.07,1.0013
