subject	model_label	fit_response	smoothed	spherical_noise	separate_sigmas	n	fisher_information	condition
1	18	False	True	True	True	16.0	0.36160266	wide
1	18	False	True	True	True	17.0	0.21164437	wide
1	18	False	True	True	True	18.0	0.11701159	wide
1	18	False	True	True	True	19.0	0.07316487	wide
1	18	False	True	True	True	20.0	0.055182297	wide
1	18	False	True	True	True	21.0	0.048124935	wide
1	18	False	True	True	True	22.0	0.04531311	wide
1	18	False	True	True	True	23.0	0.04410831	wide
1	18	False	True	True	True	24.0	0.043502383	wide
1	18	False	True	True	True	25.0	0.04309089	wide
1	18	False	True	True	True	26.0	0.04269648	wide
1	18	False	True	True	True	27.0	0.042237252	wide
1	18	False	True	True	True	28.0	0.04167756	wide
1	18	False	True	True	True	29.0	0.041006602	wide
1	18	False	True	True	True	30.0	0.040227327	wide
1	18	False	True	True	True	31.0	0.039349906	wide
1	18	False	True	True	True	32.0	0.03838812	wide
1	18	False	True	True	True	33.0	0.037356995	wide
1	18	False	True	True	True	34.0	0.036271505	wide
1	18	False	True	True	True	35.0	0.035145834	wide
1	18	False	True	True	True	36.0	0.033992898	wide
1	18	False	True	True	True	37.0	0.03282423	wide
1	18	False	True	True	True	38.0	0.031649884	wide
1	18	False	True	True	True	39.0	0.030478481	wide
1	18	False	True	True	True	40.0	0.029317325	wide
1	18	False	True	True	True	10.0	6.844346	narrow
1	18	False	True	True	True	11.0	3.98176	narrow
1	18	False	True	True	True	12.0	0.75860023	narrow
1	18	False	True	True	True	13.0	0.60072255	narrow
1	18	False	True	True	True	14.0	0.30969965	narrow
1	18	False	True	True	True	15.0	0.15440853	narrow
1	18	False	True	True	True	16.0	0.111385375	narrow
1	18	False	True	True	True	17.0	0.10295828	narrow
1	18	False	True	True	True	18.0	0.10172953	narrow
1	18	False	True	True	True	19.0	0.101204164	narrow
1	18	False	True	True	True	20.0	0.10005326	narrow
1	18	False	True	True	True	21.0	0.098063916	narrow
1	18	False	True	True	True	22.0	0.09529723	narrow
1	18	False	True	True	True	23.0	0.09189293	narrow
1	18	False	True	True	True	24.0	0.0880076	narrow
1	18	False	True	True	True	25.0	0.08379032	narrow
1	18	False	True	True	True	10.0	0.5802711	wide
1	18	False	True	True	True	11.0	2.9939685	wide
1	18	False	True	True	True	12.0	2.1516643	wide
1	18	False	True	True	True	13.0	0.91554374	wide
1	18	False	True	True	True	14.0	0.20557223	wide
1	18	False	True	True	True	15.0	0.31364363	wide
1	18	False	True	True	True	16.0	0.27589658	wide
1	18	False	True	True	True	17.0	0.16936213	wide
1	18	False	True	True	True	18.0	0.095185146	wide
1	18	False	True	True	True	19.0	0.05882168	wide
1	18	False	True	True	True	20.0	0.04362512	wide
1	18	False	True	True	True	21.0	0.037724387	wide
1	18	False	True	True	True	22.0	0.035470016	wide
1	18	False	True	True	True	23.0	0.034587674	wide
1	18	False	True	True	True	24.0	0.034208417	wide
1	18	False	True	True	True	25.0	0.033986613	wide
1	18	False	True	True	True	26.0	0.033772282	wide
1	18	False	True	True	True	27.0	0.033496864	wide
1	18	False	True	True	True	28.0	0.033130866	wide
1	18	False	True	True	True	29.0	0.03266563	wide
1	18	False	True	True	True	30.0	0.032104008	wide
1	18	False	True	True	True	31.0	0.031454824	wide
1	18	False	True	True	True	32.0	0.030729927	wide
1	18	False	True	True	True	33.0	0.029942157	wide
1	18	False	True	True	True	34.0	0.029104296	wide
1	18	False	True	True	True	35.0	0.02822846	wide
1	18	False	True	True	True	36.0	0.02732569	wide
1	18	False	True	True	True	37.0	0.026405856	wide
1	18	False	True	True	True	38.0	0.025477603	wide
1	18	False	True	True	True	39.0	0.02454836	wide
1	18	False	True	True	True	40.0	0.023624431	wide
2	15	False	True	True	False	10.0	0.46444413	narrow
2	15	False	True	True	False	11.0	0.18895182	narrow
2	15	False	True	True	False	12.0	0.11992884	narrow
