subject	model_label	fit_response	smoothed		Unnamed: 0	n	fisher_information	condition	log(fisher_information)
2	31	False	True	46	46	25.0	0.057670057	wide	-2.85301718297313
2	31	False	True	47	47	26.0	0.059494536	wide	-2.8218708025801362
2	31	False	True	48	48	27.0	0.060693625	wide	-2.8019166111438625
2	31	False	True	49	49	28.0	0.061331213	wide	-2.7914663812910137
2	31	False	True	50	50	29.0	0.061476402	wide	-2.7891018851212275
2	31	False	True	51	51	30.0	0.061198298	wide	-2.793635900308091
2	31	False	True	52	52	31.0	0.060562566	wide	-2.8040782995484643
2	31	False	True	53	53	32.0	0.059629943	wide	-2.819597431742263
2	31	False	True	54	54	33.0	0.058455143	wide	-2.839495605200113
2	31	False	True	55	55	34.0	0.05708668	wide	-2.8631844644892244
2	31	False	True	56	56	35.0	0.055567093	wide	-2.890164105457425
2	31	False	True	57	57	36.0	0.05393311	wide	-2.9200107039491385
2	31	False	True	58	58	37.0	0.052216258	wide	-2.952361376647179
2	31	False	True	59	59	38.0	0.05044331	wide	-2.9869051475166737
2	31	False	True	60	60	39.0	0.048636876	wide	-3.0233732703605503
2	31	False	True	61	61	40.0	0.0468158	wide	-3.061534526197294
3	31	False	True	0	0	10.0	25.280098	narrow	3.230017445853421
3	31	False	True	1	1	11.0	3.7835958	narrow	1.3306748273023454
3	31	False	True	2	2	12.0	0.10252552	narrow	-2.2776435357832017
3	31	False	True	3	3	13.0	0.055867873	narrow	-2.8847657867566325
3	31	False	True	4	4	14.0	0.024747018	narrow	-3.699050282074805
3	31	False	True	5	5	15.0	0.0119158905	narrow	-4.429882433498601
3	31	False	True	6	6	16.0	0.014950603	narrow	-4.203003645510693
3	31	False	True	7	7	17.0	0.027447704	narrow	-3.5954727575121166
3	31	False	True	8	8	18.0	0.042542376	narrow	-3.1572546174552567
3	31	False	True	9	9	19.0	0.055440713	narrow	-2.8924410634328273
3	31	False	True	10	10	20.0	0.06400093	narrow	-2.748857664478043
3	31	False	True	11	11	21.0	0.06806081	narrow	-2.6873537087166057
3	31	False	True	12	12	22.0	0.06846591	narrow	-2.6814193218234794
3	31	False	True	13	13	23.0	0.066330805	narrow	-2.7131008592300607
3	31	False	True	14	14	24.0	0.0626486	narrow	-2.7702139442584586
3	31	False	True	15	15	25.0	0.05816056	narrow	-2.844547817192499
3	31	False	True	16	16	26.0	0.053363062	narrow	-2.9306364952130606
3	31	False	True	17	17	27.0	0.04856374	narrow	-3.0248781170747265
3	31	False	True	18	18	28.0	0.043941237	narrow	-3.1249020603964444
3	31	False	True	19	19	29.0	0.03959202	narrow	-3.229127696180124
3	31	False	True	20	20	30.0	0.03556236	narrow	-3.3364675038344433
3	31	False	True	21	21	31.0	0.03186848	narrow	-3.4461378454461586
3	31	False	True	22	22	32.0	0.028508762	narrow	-3.557543800360602
3	31	False	True	23	23	33.0	0.025471073	narrow	-3.6702118628844125
3	31	False	True	24	24	34.0	0.022737268	narrow	-3.7837499385984175
3	31	False	True	25	25	35.0	0.020285953	narrow	-3.8978266028997934
3	31	False	True	26	26	36.0	0.018094324	narrow	-4.012156981050568
3	31	False	True	27	27	37.0	0.016139323	narrow	-4.126496562497146
3	31	False	True	28	28	38.0	0.01439847	narrow	-4.240633328045114
3	31	False	True	29	29	39.0	0.0128503125	narrow	-4.354387148870464
3	31	False	True	30	30	40.0	0.011474789	narrow	-4.46760291100415
3	31	False	True	31	31	10.0	4.175746	wide	1.4292930249757088
3	31	False	True	32	32	11.0	12.111668	wide	2.494169285487177
3	31	False	True	33	33	12.0	0.15664174	wide	-1.8537939919878845
3	31	False	True	34	34	13.0	0.07027199	wide	-2.655381994839326
3	31	False	True	35	35	14.0	0.053230293	wide	-2.9331276273978166
3	31	False	True	36	36	15.0	0.0391732	wide	-3.2397624394663875
3	31	False	True	37	37	16.0	0.02761113	wide	-3.5895363266772793
3	31	False	True	38	38	17.0	0.018473193	wide	-3.991434624779815
3	31	False	True	39	39	18.0	0.011816384	wide	-4.438268235973737
3	31	False	True	40	40	19.0	0.0076021506	wide	-4.879324098035143
3	31	False	True	41	41	20.0	0.0056012967	wide	-5.184757154473996
3	31	False	True	42	42	21.0	0.005410899	wide	-5.219340026176765
3	31	False	True	43	43	22.0	0.006531628	wide	-5.031099055893694
3	31	False	True	44	44	23.0	0.008456245	wide	-4.772850057323991
3	31	False	True	45	45	24.0	0.010738412	wide	-4.533928059306558
3	31	False	True	46	46	25.0	0.013030857	wide	-4.340435118711214
3	31	False	True	47	47	26.0	0.0150954155	wide	-4.193364190531407
3	31	False	True	48	48	27.0	0.016793542	wide	-4.086760871237279
3	31	False	True	49	49	28.0	0.018066406	wide	-4.013701087353012
3	31	False	True	50	50	29.0	0.018912312	wide	-3.967942140432602
3	31	False	True	51	51	30.0	0.019365836	wide	-3.944244796278516
3	31	False	True	52	52	31.0	0.019480873	wide	-3.938322166576847
3	31	False	True	53	53	32.0	0.019318573	wide	-3.946688314209288
3	31	False	True	54	54	33.0	0.018939221	wide	-3.9665203219539054
3	31	False	True	55	55	34.0	0.018397631	wide	-3.99553337265619
3	31	False	True	56	56	35.0	0.01774096	wide	-4.031879188570504
3	31	False	True	57	57	36.0	0.017008081	wide	-4.074066694929163
3	31	False	True	58	58	37.0	0.016229987	wide	-4.120894698441787
3	31	False	True	59	59	38.0	0.015430672	wide	-4.1713980620324005
3	31	False	True	60	60	39.0	0.014628202	wide	-4.224803969657178
3	31	False	True	61	61	40.0	0.01383583	wide	-4.280493674770787
4	31	False	True	0	0	10.0	1.7476201	narrow	0.5582549195167568
4	31	False	True	1	1	11.0	1.8680471	narrow	0.6248935536215423
4	31	False	True	2	2	12.0	0.41669115	narrow	-0.8754099790802011
4	31	False	True	3	3	13.0	1.2455485	narrow	0.2195759951466135
4	31	False	True	4	4	14.0	0.5584565	narrow	-0.5825785507040983
4	31	False	True	5	5	15.0	0.5573905	narrow	-0.5844892074953892
4	31	False	True	6	6	16.0	0.49258766	narrow	-0.7080828443605913
4	31	False	True	7	7	17.0	0.43553203	narrow	-0.8311869377476916
4	31	False	True	8	8	18.0	0.40694872	narrow	-0.8990680965635848
4	31	False	True	9	9	19.0	0.39207256	narrow	-0.9363083542801272
4	31	False	True	10	10	20.0	0.37894922	narrow	-0.9703530670452568
4	31	False	True	11	11	21.0	0.36322168	narrow	-1.0127419424065174
4	31	False	True	12	12	22.0	0.3443377	narrow	-1.0661324171008533
4	31	False	True	13	13	23.0	0.32302368	narrow	-1.1300296457532264
4	31	False	True	14	14	24.0	0.30028	narrow	-1.2030399062773354
4	31	False	True	15	15	25.0	0.27703276	narrow	-1.283619512639792
4	31	False	True	16	16	26.0	0.25402647	narrow	-1.3703168047949308
4	31	False	True	17	17	27.0	0.23180729	narrow	-1.4618488990455587
4	31	False	True	18	18	28.0	0.21074335	narrow	-1.5571142365719122
4	31	False	True	19	19	29.0	0.19105683	narrow	-1.6551843559245207
4	31	False	True	20	20	30.0	0.17285804	narrow	-1.7552845993774875
4	31	False	True	21	21	31.0	0.15617572	narrow	-1.8567734954002284
4	31	False	True	22	22	32.0	0.14098206	narrow	-1.9591226307414595
4	31	False	True	23	23	33.0	0.12721232	narrow	-2.0618977774203797
4	31	False	True	24	24	34.0	0.114779435	narrow	-2.164742948774395
4	31	False	True	25	25	35.0	0.10358448	narrow	-2.2673677673287433
4	31	False	True	26	26	36.0	0.09352432	narrow	-2.3695337695575724
4	31	False	True	27	27	37.0	0.08449626	narrow	-2.471048005953557
4	31	False	True	28	28	38.0	0.076401524	narrow	-2.5717526353646347
4	31	False	True	29	29	39.0	0.06914697	narrow	-2.6715210396188156
4	31	False	True	30	30	40.0	0.06264627	narrow	-2.7702511365233975
4	31	False	True	31	31	10.0	1.8045834	wide	0.5903297618215583
4	31	False	True	32	32	11.0	1.2437421	wide	0.21812465771169898
4	31	False	True	33	33	12.0	0.9166886	wide	-0.08698745000315515
4	31	False	True	34	34	13.0	1.2545166	wide	0.22675031910028448
4	31	False	True	35	35	14.0	0.32446724	wide	-1.1255707032501938
4	31	False	True	36	36	15.0	0.71457934	wide	-0.33606124508980395
4	31	False	True	37	37	16.0	0.39283472	wide	-0.9343663153693873
4	31	False	True	38	38	17.0	0.24864326	wide	-1.3917361005631959
4	31	False	True	39	39	18.0	0.23124777	wide	-1.464265545879342
4	31	False	True	40	40	19.0	0.21422952	wide	-1.5407073153380704
4	31	False	True	41	41	20.0	0.19165961	wide	-1.6520343449219774
4	31	False	True	42	42	21.0	0.17054342	wide	-1.7687653519230229
4	31	False	True	43	43	22.0	0.15430483	wide	-1.8688252174457785
4	31	False	True	44	44	23.0	0.14306785	wide	-1.944436285725673
4	31	False	True	45	45	24.0	0.13546386	wide	-1.9990503901045429
4	31	False	True	46	46	25.0	0.12995236	wide	-2.0405873572284547
4	31	False	True	47	47	26.0	0.12540059	wide	-2.076241945850206
4	31	False	True	48	48	27.0	0.121152095	wide	-2.110708539256654
4	31	False	True	49	49	28.0	0.116895415	wide	-2.1464756328301857
4	31	False	True	50	50	29.0	0.11251885	wide	-2.184634515817971
4	31	False	True	51	51	30.0	0.10801049	wide	-2.2255269269450646
4	31	False	True	52	52	31.0	0.10340145	wide	-2.269136293795301
4	31	False	True	53	53	32.0	0.09873803	wide	-2.315285097737934
4	31	False	True	54	54	33.0	0.094068155	wide	-2.363735706244724
4	31	False	True	55	55	34.0	0.089435935	wide	-2.4142327200715337
4	31	False	True	56	56	35.0	0.08487942	wide	-2.4665236178760046
4	31	False	True	57	57	36.0	0.080429934	wide	-2.5203688586558286
4	31	False	True	58	58	37.0	0.07611229	wide	-2.5755455291249905
4	31	False	True	59	59	38.0	0.071945295	wide	-2.631849240420725
4	31	False	True	60	60	39.0	0.06794254	wide	-2.689092931019775
4	31	False	True	61	61	40.0	0.06411303	wide	-2.7471076595822606
5	31	False	True	0	0	10.0	117.56865	narrow	4.767022418292674
5	31	False	True	1	1	11.0	1.6759669	narrow	0.5163902524615279
5	31	False	True	2	2	12.0	0.684361	narrow	-0.37926972280751553
5	31	False	True	3	3	13.0	1.6091744	narrow	0.47572125244097846
5	31	False	True	4	4	14.0	2.117894	narrow	0.750422198712458
5	31	False	True	5	5	15.0	0.048071597	narrow	-3.0350637752440957
5	31	False	True	6	6	16.0	0.07028143	narrow	-2.6552476686875437
5	31	False	True	7	7	17.0	0.13118663	narrow	-2.0311343131526702
5	31	False	True	8	8	18.0	0.19421159	narrow	-1.6388070441642335
5	31	False	True	9	9	19.0	0.24833538	narrow	-1.392975107693911
5	31	False	True	10	10	20.0	0.2895753	narrow	-1.239339912163228
5	31	False	True	11	11	21.0	0.31743824	narrow	-1.1474719992558378
5	31	False	True	12	12	22.0	0.33403933	narrow	-1.0964965384469345
5	31	False	True	13	13	23.0	0.34348485	narrow	-1.0686122730958718
5	31	False	True	14	14	24.0	0.35090485	narrow	-1.0472401748868891
5	31	False	True	15	15	25.0	0.36120397	narrow	-1.0183124663590666
5	31	False	True	16	16	26.0	0.37776667	narrow	-0.973478549087555
5	31	False	True	17	17	27.0	0.40144387	narrow	-0.9126875561155541
5	31	False	True	18	18	28.0	0.4301591	narrow	-0.8436001387276493
5	31	False	True	19	19	29.0	0.45932838	narrow	-0.7779898998793452
5	31	False	True	20	20	30.0	0.48300877	narrow	-0.7277204681445106
5	31	False	True	21	21	31.0	0.49541822	narrow	-0.7023529842422647
